#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
 0.0047982             0            0             0
  0.014395             0            0             0
  0.023991             0            0             0
  0.033588             0            0             0
  0.043184             0            0             0
  0.052781             0            0             0
  0.062377             0            0             0
  0.071974             0            0             0
   0.08157             0            0             0
  0.091167             0            0             0
   0.10076             0            0             0
   0.11036             0            0             0
   0.11996             0            0             0
   0.12955             0            0             0
   0.13915             0            0             0
   0.14875             0            0             0
   0.15834             0            0             0
   0.16794             0            0             0
   0.17753             0            0             0
   0.18713             0            0             0
   0.19673             0            0             0
   0.20632             0            0             0
   0.21592             0            0             0
   0.22552             0            0             0
   0.23511             0            0             0
   0.24471             0            0             0
   0.25431             0            0             0
    0.2639             0            0             0
    0.2735             0            0             0
    0.2831             0            0             0
   0.29269             0            0             0
   0.30229             0            0             0
   0.31189             0            0             0
   0.32148             0            0             0
   0.33108             0            0             0
   0.34068             0            0             0
   0.35027             0            0             0
   0.35987             0            0             0
   0.36946             0            0             0
   0.37906             0            0             0
   0.38866             0            0             0
   0.39825             0            0             0
   0.40785             0            0             0
   0.41745             0            0             0
   0.42704             0            0             0
   0.43664             0            0             0
   0.44624             0            0             0
   0.45583             0            0             0
   0.46543             0            0             0
   0.47503             0            0             0
   0.48462             0            0             0
   0.49422             0            0             0
   0.50382             0            0             0
   0.51341             0            0             0
   0.52301             0            0             0
    0.5326             0            0             0
    0.5422             0            0             0
    0.5518             0            0             0
   0.56139             0            0             0
   0.57099             0            0             0
   0.58059             0            0             0
   0.59018             0            0             0
   0.59978             0            0             0
   0.60938             0            0             0
   0.61897             0            0             0
   0.62857             0            0             0
   0.63817             0            0             0
   0.64776             0            0             0
   0.65736             0            0             0
   0.66696             0            0             0
   0.67655             0            0             0
   0.68615             0            0             0
   0.69575             0            0             0
   0.70534             0            0             0
   0.71494             0            0             0
   0.72453             0            0             0
   0.73413             0            0             0
   0.74373             0            0             0
   0.75332             0            0             0
   0.76292             0            0             0
   0.77252             0            0             0
   0.78211             0            0             0
   0.79171             0            0             0
   0.80131             0            0             0
    0.8109             0            0             0
    0.8205             0            0             0
    0.8301             0            0             0
   0.83969             0            0             0
   0.84929             0            0             0
   0.85889             0            0             0
   0.86848             0            0             0
   0.87808             0            0             0
   0.88767             0            0             0
   0.89727             0            0             0
   0.90687             0            0             0
   0.91646             0            0             0
   0.92606             0            0             0
   0.93566             0            0             0
   0.94525             0            0             0
   0.95485             0            0             0
   0.96445             0            0             0
   0.97404             0            0             0
   0.98364             0            0             0
   0.99324             0            0             0
    1.0028             0            0             0
    1.0124             0            0             0
     1.022             0            0             0
    1.0316             0            0             0
    1.0412             0            0             0
    1.0508             0            0             0
    1.0604             0            0             0
      1.07             0            0             0
    1.0796             0            0             0
    1.0892             0            0             0
    1.0988             0            0             0
    1.1084             0            0             0
     1.118             0            0             0
    1.1276             0            0             0
    1.1372             0            0             0
    1.1468             0            0             0
    1.1564             0            0             0
     1.166             0            0             0
    1.1756             0            0             0
    1.1852             0            0             0
    1.1948             0            0             0
    1.2044             0            0             0
     1.214             0            0             0
    1.2236             0            0             0
    1.2331             0            0             0
    1.2427             0            0             0
    1.2523             0            0             0
    1.2619             0            0             0
    1.2715             0            0             0
    1.2811             0            0             0
    1.2907             0            0             0
    1.3003             0            0             0
    1.3099             0            0             0
    1.3195             0            0             0
    1.3291             0            0             0
    1.3387             0            0             0
    1.3483             0            0             0
    1.3579             0            0             0
    1.3675             0            0             0
    1.3771             0            0             0
    1.3867             0            0             0
    1.3963             0            0             0
    1.4059             0            0             0
    1.4155             0            0             0
    1.4251             0            0             0
    1.4347             0            0             0
    1.4443             0            0             0
    1.4539             0            0             0
    1.4635             0            0             0
    1.4731             0            0             0
    1.4827             0            0             0
    1.4923             0            0             0
    1.5018             0   0.02400566             0
    1.5114             0   0.05036632             0
     1.521             0    0.1535866             0
    1.5306             0    0.5994448             0
    1.5402             0     1.188276             0
    1.5498             0     2.416248             0
    1.5594             0     4.596469             0
